Customer Name,review rate,ISBN
124,Amazon Customer,4.0,8123910304
125,Shambhavi,4.0,8123910304
126,Snehasish Bhattacharjee,5.0,8123910304
127,Siddharth shrivastava,4.0,8123910304
128,Chetan Shegokar,3.0,8123910304
129,Ninja,5.0,8123910304
130,KarthiK,5.0,8123910304
131,ABHILASH P N,1.0,9780070702769
132,SUKALAYAN DEY,5.0,9780070702769
133,Yashobrat,5.0,9780070702769
134,Vikas Chaudhary,5.0,9780070702769
135,Amith Vinag,4.0,9780070702769
136,Prasanta das,4.0,9780070702769
137,crajib2009,5.0,9780070702769
138,ami,5.0,9780070702769
139,Jishnu Saji,3.0,9780070702769
140,ARIF JANBAAZ NAIMI,4.0,9780070702769
141,Ashish Kumar Patel,5.0,1259029972
142,hàrshitha,4.0,1259029972
143,Biji Zachariah,4.0,1259029972
144,Thejas kp,3.0,1259029972
145,THRUPTHI,4.0,1259029972
146,Sheo Yogesh,4.0,1259029972
147,SUKALAYAN DEY,5.0,1259029972
148,amitesh singh,4.0,1259029972
149,Payal,5.0,1259029972
150,Anand Mohan,4.0,1259029972
151,Partha Bhowmik,3.0,8174090479
152,Gaurav tamta,5.0,8174090479
153,akshay kayapak,5.0,8174090479
154,Apurva Dahat,5.0,8174090479
155,SAQIB KHAN,4.0,8174090479
156,Venkata Raju badanapuri,5.0,8174090479
157,Bittu Raj,3.0,8174090479
158,Paras,4.0,8174090479
159,NITESH CHAURASIYA,4.0,8174090479
160,Kishan thummar,4.0,8174090479
161,Debjyoti A.,4.0,8122440398
162,Tauseef Raza,5.0,8122440398
163,Arya,5.0,8122440398
164,om sharma,5.0,8122440398
165,Abhishek Sharma,4.0,8122440398
166,THRUPTHI,5.0,8122440398
167,priyal,4.0,8122440398
168,Renu joshi,5.0,8122440398
169,Shahinur,5.0,8122440398
170,Student of civil engineering,5.0,8122440398
171,KARUNA M S,5.0,9788174092304
172,Amazon Customer,4.0,9788174092304
173,Vivek,5.0,9788174092304
174,Pranshu Raj,5.0,9788174092304
175,Priyanshu banjara,5.0,9788174092304
176,Abhishek D.,5.0,9788174092304
177,Punit Kumar,5.0,9788174092304
178,Rishabh Sobti,4.0,9788174092304
179,Rakesh Roy,5.0,9788174092304
180,Amazon Customer,4.0,9788174092304
181,Anmol,4.0,9789386418005
182,Yes Man,5.0,9789386418005
183,Er. D S Dabi,3.0,9789386418005
184,Siddhant,5.0,9789386418005
185,Alpha_Tester,4.0,9789386418005
186,Amazon Customer kg,5.0,9789386418005
187,Amazon Customer,3.0,9789386418005
188,Bharath kumar,4.0,9789386418005
189,Rupinder,5.0,9789386418005
190,Prince neo,5.0,9789386418005
191,Vikas,5.0,9788170088530
192,Iqra Aijaz,5.0,9788170088530
193,Uma Devi,5.0,9788170088530
194,Lepcha,4.0,9788170088530
195,Prajwal Gorakh  Wakchaure,5.0,9788170088530
196,vinay sawant,5.0,9788170088530
197,Arvind Kumar,4.0,9788170088530
198,Romesh bhandari,5.0,9788170088530
199,Rishabh Sobti,5.0,9788170088530
200,Naveed,4.0,9788170088530
201,Chaitanya ERK,5.0,9789351343479
202,Abhishek,5.0,9789351343479
203,Nishchay Munshi,4.0,9789351343479
204,Aswin Prabhu,4.0,9789351343479
205,Aniket tagadpallewar,4.0,9789351343479
206,Thakur a.,4.0,9789351343479
207,Hemant Bhardwaj,4.0,9789351343479
208,Chetan Gurjar,4.0,9789351343479
209,Avnit Singh,3.0,9789351343479
210,Aman solanki,5.0,9789351343479
211,Mister Roboto,3.0,9788189928353
212,Nishchay Munshi,3.0,9788189928353
213,MANISH KUMAR,4.0,9788189928353
214,Nayeem Akhtar Khan,5.0,9788189928353
215,Kadamban,4.0,9788189928353
216,srisurya damodara,4.0,9788189928353
217,S.Saikrishna,5.0,9788189928353
218,Syed A.,5.0,9788189928353
219,Yoda,3.0,9788189928353
220,Edukondalu yangala,5.0,9788189928353
221,,3.0,8177001000
222,,3.0,8177001000
223,,4.0,8177001000
224,,5.0,8177001000
225,,4.0,8177001000
226,,4.0,8177001000
227,,5.0,8177001000
228,,5.0,8177001000
229,,3.0,8177001000
230,,5.0,8177001000
231,August B. Lyngwa,5.0,9788177584097
232,Sachit,4.0,9788177584097
233,Gitesh Oza,4.0,9788177584097
234,Devesh,2.0,9788177584097
235,Mukesh dev,5.0,9788177584097
236,Anirudh,3.0,9788177584097
237,Nithish,5.0,9788177584097
238,Subhankar Dey,4.0,9788177584097
239,Navid H.,5.0,9788177584097
240,Padmaa Jaulkar,5.0,9788177584097
241,Baddi Singh,2.0,8126520515
242,Amazon Customer,5.0,8126520515
243,Sudarshan Saxena,3.0,8126520515
244,MD. AMIR,4.0,8126520515
245,VSR,4.0,8126520515
246,BMKrishna,4.0,8126520515
247,SKY,5.0,8126520515
248,Ananya,5.0,8126520515
249,Ravi,4.0,8126520515
250,Naveen Reddy,5.0,8126520515
251,Manabendra,4.0,8173197814
252,AFRIN SULTANA,5.0,8173197814
253,Mari Ganesh Kumar M,5.0,8173197814
254,Sweta Chakraborty,2.0,8173197814
255,sho,5.0,8173197814
256,Zay,2.0,8173197814
257,Reddy prasad,1.0,8173197814
258,Akshay gowda,5.0,1259005275
259,Aditya Roshan Jha,4.0,1259005275
260,Masroor,4.0,1259005275
261,Sandip,4.0,1259005275
262,Santhosh,3.0,1259005275
263,Shyamsj,4.0,1259005275
264,Uddip lagachu,4.0,1259005275
265,A customer,4.0,1259005275
266,Aditya,3.0,1259005275
267,Ravi Raj,4.0,1259005275
268,sahul hameed,4.0,9390727502
269,Santosh Kavhar,4.0,9390727502
270,Mayur ,5.0,9390727502
271,A K Sahu,2.0,9390727502
272,N.v.s.Murthy,5.0,9390727502
273,Pritish Sahoo,5.0,9390727502
274,Sneha Mondal,4.0,9390727502
275,Suryakant Borad,5.0,9390727502
276,Tarun Mandal,4.0,9390727502
277,Amazon Customer,3.0,9390727502
278,defec8ed,5.0,9332518661
279,Kaushal Kishore,4.0,9332518661
280,Nitin Kapoor,5.0,9332518661
281,Amazon Customer,5.0,9332518661
282,Hardik Jain,2.0,9332518661
283,Md.Zaid,5.0,9332518661
284,Sumit chongder,4.0,9332518661
285,Prateek M,2.0,9332518661
286,Shivam jaiswal,3.0,9332518661
287,Amazon Customer,5.0,9332518661
288,Parvathirajan,3.0,73375977
289,"Got an already used book, content is good but selling already used book is not good",1.0,73375977
290,Ankit Raj,5.0,73375977
291,Prakhar srivastava(Mukesh Kumar Srivastava),5.0,73375977
292,Debasis,5.0,73375977
293,Shivate pandita,3.0,73375977
294,KARTHIK KOLLIPARA,5.0,73375977
295,jayram,5.0,73375977
296,Kartheek Sanisetty,5.0,73375977
297,vamer,4.0,73375977
298,Alok,4.0,9780070681880
299,Nitish Kumar Pattanaik,5.0,9780070681880
300,Krishna Rani ojha,5.0,9780070681880
301,Bijyenti Mala,4.0,9780070681880
302,Jerome,4.0,9780070681880
303,Utkarsh Gupta,3.0,9780070681880
304,NIKHIL MURARI,5.0,9780070681880
305,CS geek,3.0,9780070681880
306,Satyajit,4.0,9780070681880
307,Sreehari P V,5.0,9780070681880
308,Nisha,5.0,198062257
309,Utkarsh,4.0,198062257
310,CN,5.0,198062257
311,Amazon_Customer_123,5.0,198062257
312,Pratika Mishra,1.0,198062257
313,PRITAM SARKAR,5.0,198062257
314,Chandrima,5.0,198062257
315,LOKESH LOYA,1.0,198062257
316,Amazon Customer,2.0,198062257
317,sad customer,5.0,198062257
318,Akanksha Sharma,5.0,1259098591
319,abhinav,5.0,1259098591
320,sweety kumari,4.0,1259098591
321,Chaitanya,5.0,1259098591
322,ANNYBAN,5.0,1259098591
323,Curfew Lal,5.0,1259098591
324,S.Gopinath,5.0,1259098591
325,Debanjan Datta,5.0,1259098591
326,Amazon Customer,4.0,1259098591
327,Karan sathvara,5.0,1259098591
328,Vikas Bhasin,1.0,7560509703
329,viji,5.0,7560509703
330,Mengxue Cheng,4.0,7560509703
331,Shubham bhatt,3.0,9780198062295
332,Priyanka mishra,5.0,9780198062295
333,Amazon Customer,5.0,9780198062295
334,Ashish,5.0,9780198062295
335,DK Patra,4.0,9780198062295
336,Amazon Customer,5.0,9780198062295
337,Shashi Prakash,4.0,9780071070102
338,DEVRAJ MISHRA,5.0,9780071070102
339,Anil,4.0,9780071070102
340,ravi bishnoi,4.0,9780071070102
341,ahmad waquar,5.0,9780071070102
342,Ramesh PK,3.0,9780071070102
343,Swati clarice xalxo,5.0,9780071070102
344,Aashish prakash,3.0,9780071070102
345,Vamsidhar,5.0,9780071070102
346,abhinav,5.0,9780071070102
347,Sudipta Maity,5.0,70648115
348,narotam bharti,4.0,70648115
349,Michael Williams,5.0,70648115
350,Ayushi bhanderi,5.0,9352535316
351,Biki Das,4.0,9352535316
352,ABHINAV KUMAR,4.0,9352535316
353,Honest,5.0,9352535316
354,M Skindar Padder,5.0,9352535316
355,Gurbakhsis,5.0,9352535316
356,shailendra Patil,5.0,9352535316
357,INDIAN,4.0,9352535316
358,Anju Singh,4.0,9352535316
359,Ashish,4.0,9352535316
360,Apoorv Soni,4.0,8122424686
361,sandeep pediredla,4.0,8122424686
362,Amazon Customer,4.0,8122424686
363,Nayan Nibir,4.0,8122424686
364,Ova Animations,5.0,8122424686
365,Shubham kumar,4.0,8122424686
366,vinod,5.0,8122424686
367,Achyuth,4.0,8122424686
368,Amazon Customer,5.0,8122424686
369,Amazon Customer,5.0,8122424686
370,TEJA KOONATI,4.0,9780070647916
371,Sriranjani,3.0,9780070647916
372,Avik sood,4.0,9780070647916
373,RAJESH P,4.0,9780070647916
374,Amazon Customer,4.0,9780070647916
375,Nilesh Dwivedi,3.0,9780070647916
376,Ankit Gupta,4.0,9780070647916
377,Lakhan dev,5.0,9780070647916
378,Abhik Halder,5.0,9780070647916
379,Nitesh,4.0,9780070647916
380,Amazon Customer,4.0,8174091734
381,Amit Baroi,4.0,8174091734
382,Karan sathvara,5.0,8174091734
383,Alpesh Shravan,2.0,8174091734
384,Adhik s.,5.0,8174091734
385,@Aryan sahu,4.0,8174091734
386,gurprit singh,5.0,8174091734
387,Gurdeep,5.0,8174091734
388,Deepak,4.0,8174091734
389,Amazon Customer,4.0,8174091734
390,rajesh thapa,5.0,8122420087
391,Keshav_s7,3.0,8122420087
392,Shabana.Shaik,5.0,8122420087
393,Darshan Pande,5.0,8122420087
394,AKASH KUMAR,4.0,8122420087
395,Prashant Kumar Kannaujiya,5.0,8122420087
396,Nithin,4.0,8122420087
397,Bimal,5.0,8122420087
398,udayan trivedi,5.0,8122420087
399,Engineering student,4.0,8122420087
400,arockiaraj,5.0,9780070151420
401,Rishav Kumar,4.0,9780070151420
402,prabha,5.0,9780070151420
403,Julius Reang,4.0,9780070151420
404,Harshit Sharma,4.0,9780070151420
405,poonia,5.0,9780070151420
406,Abhishek,4.0,9780070151420
407,Rupam G.,4.0,9780070151420
408,abhishek pandit,4.0,9780070151420
409,Deeksha Yadav,5.0,9780070151420
410,KAUSHIK MUKHOPADHYAY,5.0,8177000004
411,S.T.Narasimha Chary,5.0,8177000004
412,tambe saurabh popatrao,5.0,8177000004
413,Arnab saha,4.0,8177000004
414,Manisankar Mahapatra,4.0,8177000004
415,Kavya,4.0,8177000004
416,VIKASH KUMAR,5.0,8177000004
417,Vignesh,3.0,8177000004
418,dipesh patel,5.0,8177000004
419,Julius Reang,4.0,8177000004
420,Jenny,5.0,9788174092793
421,Sai Rupesh chinthagumpala,5.0,70612234
422,Saurabh,5.0,70612234
423,vaibhav,5.0,70612234
424,Kundan Kumar,4.0,70612234
425,Anusuya,5.0,70612234
426,Arvind,5.0,70612234
427,Joydeb Saha,5.0,70612234
428,Sunilkumar Pawar,4.0,70612234
429,Ajeet,5.0,70612234
430,Ar.Vi.,5.0,70612234
